prov_name,party_2009,perc_2009,party_2014,perc_2014,party_2019,perc_2019
Adana,MHP,29.7,MHP,33.6,CHP,53.63
Adiyaman,AKP,49.3,AKP,56.5,AKP,53.22
afyonkarahisar,AKP,48.2,AKP,49.4,AKP,42.96
Agri,AKP,39.6,BDP,51,AKP,55.57
AKSARAY,AKP,58.2,AKP,56.9,AKP,40.47
Amasya,AKP,40.1,AKP,43.5,MHP,47.28
Ankara,AKP,38.5,AKP,44.9,CHP,50.93
Antalya,CHP,40.8,AKP,36.4,CHP,50.62
Ardahan,AKP,36.9,AKP,34.3,CHP,51.2
Artvin,CHP,43.7,AKP,46.3,CHP,50.96
Aydin,CHP,26,CHP,43.8,CHP,53.94
Balikesir,MHP,41.1,AKP,39.8,AKP,47.78
Bartin,MHP,39.9,MHP,45.9,MHP,35.76
Batman,DTP,59.7,BDP,55.9,HDP,66.03
Bayburt,AKP,34.9,AKP,52.1,MHP,56.49
Bilecik,AKP,38.2,AKP,39.7,CHP,50.64
Bingol,AKP,42.8,AKP,58.4,AKP,38.6
Bitlis,AKP,43.1,BDP,43.9,AKP,43.81
Bolu,AKP,43.4,AKP,49.6,CHP,52.71
Burdur,AKP,40,CHP,44.4,CHP,53.14
Bursa,AKP,47.3,AKP,49.6,AKP,49.62
canakkale,CHP,39.4,CHP,54.4,CHP,60.73
cankiri,AKP,46.9,AKP,54.3,MHP,46.99
corum,AKP,45.7,AKP,50.7,AKP,43.28
Denizli,AKP,40,AKP,45.3,AKP,50.56
Diyarbakir,DTP,65.6,BDP,55.1,HDP,62.93
Duzce,AKP,42.5,AKP,54.5,AKP,47.14
Edirne,CHP,57.1,CHP,36.9,CHP,44.87
Elazig,AKP,47.8,AKP,55.8,AKP,40.38
Erzincan,AKP,51.3,AKP,54.7,MHP,42.36
Erzurum,AKP,56.8,AKP,58.8,AKP,62.8
Eskisehir,DSP,51.5,CHP,45.3,CHP,52.3
Gaziantep,AKP,52.5,AKP,54.7,AKP,53.97
Giresun,CHP,46.5,CHP,46.3,AKP,48.84
Gumushane,MHP,41.8,AKP,57.5,AKP,49.16
Hakkari,DTP,80.2,BDP,66.8,HDP,59.97
Hatay,AKP,50.9,CHP,41.2,CHP,55.16
Igdir,DTP,39.6,BDP,44.2,HDP,50.1
Isparta,MHP,38.7,MHP,44.5,AKP,38.04
Istanbul,AKP,44.2,AKP,47.9,CHP,48.8
izmir,CHP,55.2,CHP,49.6,CHP,58.1
Kahramanmaras,AKP,65.3,AKP,58.8,AKP,67.6
Karabuk,MHP,31,MHP,51.8,MHP,39.83
Karaman,AKP,49.4,AKP,52.4,MHP,39.57
Kars,AKP,32.7,MHP,28.4,HDP,29.58
Kastamonu,MHP,49.3,AKP,45.7,MHP,49.55
Kayseri,AKP,60.5,AKP,59,AKP,63.39
Kirikkale,AKP,31.8,AKP,44.3,AKP,42.03
Kirklareli,CHP,49.9,CHP,38,MHP,37.48
Kirsehir,AKP,37.3,AKP,42.2,CHP,44.79
Kilis,AKP,49.9,AKP,50.8,AKP,47.26
Kocaeli,AKP,47.2,AKP,50.6,AKP,55.57
Konya,AKP,68,AKP,64.3,AKP,70.53
Kutahya,AKP,62,AKP,48.9,MHP,38.68
Malatya,AKP,53.1,AKP,61.8,AKP,68.47
Manisa,MHP,38.7,MHP,40.1,MHP,52.77
Mardin,AKP,45,AKP,52.2,HDP,56.24
Mersin,CHP,31,MHP,32,CHP,45.09
Mugla,CHP,46,CHP,49.1,CHP,36.01
Mus,AKP,50.5,AKP,48.5,AKP,34.76
Nevsehir,AKP,52.8,AKP,52.5,AKP,51.58
Nigde,AKP,39.9,AKP,41.1,AKP,37.13
Ordu,DSP,52.7,AKP,54.5,AKP,56.93
Osmaniye,MHP,48.8,MHP,47.3,MHP,54.44
Rize,AKP,46.8,AKP,67.9,AKP,72.99
Sakarya,AKP,45.3,AKP,58,AKP,65.04
Samsun,AKP,48.4,AKP,54.9,AKP,47.37
Siirt,DTP,49.4,BDP,49.4,HDP,48.36
Sinop,CHP,52.1,CHP,54.3,CHP,56.63
Sivas,BBP,50.8,AKP,58.3,AKP,49.35
sanliurfa,IND,44,AKP,61.7,AKP,60.81
sirnak,DTP,53.7,BDP,59.6,AKP,61.72
Tekirdag,CHP,45.6,CHP,45.8,CHP,51.18
Tokat,AKP,49.6,AKP,52,AKP,48.8
Trabzon,AKP,47.8,AKP,59.5,AKP,64.61
Tunceli,DTP,30,BDP,42.4,TKP,32.77
Usak,MHP,39.6,AKP,43.3,AKP,39.11
Van,DTP,53.5,BDP,53.1,HDP,53.83
Yalova,DP,35.4,CHP,48,CHP,45.91
Yozgat,AKP,54.7,AKP,56.2,AKP,40.86
Zonguldak,CHP,45.8,CHP,39.9,AKP,42.52
