,prov_code,prov_name,year,all_wm_prov,knows_wm_prov,total_pop,ethnic_turkish,ethnic_kurdish,ln_casualty,ln_gdppc_cons,divorce_rate_ma5,mosques_perk,ceasefire,fm_diff_educ
0,1,Adana,1986,,,,,,,,,,0,
1,1,Adana,1987,,,,,,,,,,0,
2,1,Adana,1988,,,,,,,,,,0,
3,1,Adana,1991,,,,,,,,,,0,
4,1,Adana,1992,,,,,,,,,,0,
5,1,Adana,1993,,,,,,,,,,0,
6,1,Adana,1994,,,,,,,,,,0,
7,1,Adana,1995,,,,,,,,,,0,
8,1,Adana,1996,,,,,,,,,,0,
9,1,Adana,1997,,,,,,,,,,0,
10,1,Adana,1998,,,,,,,,,,0,
11,1,Adana,1999,,,,,,,,,,0,
12,1,Adana,2000,,,,,,,,,,0,
13,1,adana,2001,,,,,,,,,,0,
14,1,adana,2002,,,,,,,,1.56,,0,
15,1,adana,2003,,,,,,,,1.545,,0,
16,1,adana,2004,,,,,,,,1.5366666,,0,
17,1,adana,2005,,,,,,,,1.5025,,0,
18,1,adana,2006,,,,,,,,1.46,,0,
19,1,adana,2007,,,,,,,4.141596,1.414,,0,
20,1,adana,2008,,,,,,,4.1425266,1.394,,0,
21,1,adana,2009,,,,,,,4.1062512,1.392,,0,-0.059592366
22,1,ADANA,2010,20,19,2085225,82.03772,13.370917,3.1780539,4.1877975,1.458,0.60664916,0,-0.06288165
23,1,ADANA,2011,15,15,2108805,82.03772,13.370917,3.1780539,4.270533,1.532,0.5998658,0,-0.06818777
24,1,ADANA,2012,9,9,2125635,82.03772,13.370917,3.1780539,4.310695,1.632,0.6407497,0,-0.06709957
25,1,ADANA,2013,7,7,2149260,82.03772,13.370917,3.1780539,4.3507123,1.712,0.65185225,1,-0.06671113
26,1,ADANA,2014,14,14,2165595,82.03772,13.370917,3.1780539,4.3790603,1.79,0.65432364,1,-0.0671466
27,1,ADANA,2015,12,12,2183167,82.03772,13.370917,3.1780539,4.421428,1.824,0.6490571,0,-0.06585774
28,1,ADANA,2016,11,10,2201670,82.03772,13.370917,3.1780539,4.455729,1.89,0.65086955,0,-0.06417319
29,1,ADANA,2017,18,18,2216475,82.03772,13.370917,3.1780539,4.5086017,1.882,0.65238726,0,-0.06269407
30,1,Adana,2018,,,,,,,,1.86,,0,-0.061247528
31,2,Adiyaman,1986,,,,,,,,,,0,
32,2,Adiyaman,1987,,,,,,,,,,0,
33,2,Adiyaman,1988,,,,,,,,,,0,
34,2,Adiyaman,1991,,,,,,,,,,0,
35,2,Adiyaman,1992,,,,,,,,,,0,
36,2,Adiyaman,1993,,,,,,,,,,0,
37,2,Adiyaman,1994,,,,,,,,,,0,
38,2,Adiyaman,1995,,,,,,,,,,0,
39,2,Adiyaman,1996,,,,,,,,,,0,
40,2,Adiyaman,1997,,,,,,,,,,0,
41,2,Adiyaman,1998,,,,,,,,,,0,
42,2,Adiyaman,1999,,,,,,,,,,0,
43,2,Adiyaman,2000,,,,,,,,,,0,
44,2,adiyaman,2001,,,,,,,,,,0,
45,2,adiyaman,2002,,,,,,,,0.89,,0,
46,2,adiyaman,2003,,,,,,,,0.925,,0,
47,2,adiyaman,2004,,,,,,,,0.9,,0,
48,2,adiyaman,2005,,,,,,,,0.8725,,0,
49,2,adiyaman,2006,,,,,,,,0.85,,0,
50,2,adiyaman,2007,,,,,,,3.6713836,0.806,,0,
51,2,adiyaman,2008,,,,,,,3.7063413,0.758,,0,
52,2,adiyaman,2009,,,,,,,3.630636,0.73,,0,-0.0966761
53,2,ADIYAMAN,2010,0,0,590935,28.144897,70.21079,3.7612002,3.7191708,0.744,1.1862557,0,-0.10079217
54,2,ADIYAMAN,2011,1,1,593931,28.144897,70.21079,3.7612002,3.8266168,0.74,1.190374,0,-0.106139034
55,2,ADIYAMAN,2012,1,1,595261,28.144897,70.21079,3.7612002,3.8406134,0.748,1.2263528,0,-0.10638426
56,2,ADIYAMAN,2013,2,2,597184,28.144897,70.21079,3.7612002,3.947309,0.762,1.2374746,1,-0.10291308
57,2,ADIYAMAN,2014,0,0,597835,28.144897,70.21079,3.7612002,4.0243244,0.814,1.2444905,1,-0.10177758
58,2,ADIYAMAN,2015,1,1,602774,28.144897,70.21079,3.7612002,4.050076,0.806,1.2342935,0,-0.1024912
59,2,ADIYAMAN,2016,0,0,610484,28.144897,70.21079,3.7612002,4.060205,0.854,1.2449138,0,-0.09956594
60,2,ADIYAMAN,2017,0,0,615076,28.144897,70.21079,3.7612002,4.0970206,0.872,1.250252,0,-0.094524905
61,2,Adiyaman,2018,,,,,,,,0.87,,0,-0.09653191
62,3,Afyonkarahisar,1986,,,,,,,,,,0,
63,3,Afyonkarahisar,1987,,,,,,,,,,0,
64,3,Afyonkarahisar,1988,,,,,,,,,,0,
65,3,Afyonkarahisar,1991,,,,,,,,,,0,
66,3,Afyonkarahisar,1992,,,,,,,,,,0,
67,3,Afyonkarahisar,1993,,,,,,,,,,0,
68,3,Afyonkarahisar,1994,,,,,,,,,,0,
69,3,Afyonkarahisar,1995,,,,,,,,,,0,
70,3,Afyonkarahisar,1996,,,,,,,,,,0,
71,3,Afyonkarahisar,1997,,,,,,,,,,0,
72,3,Afyonkarahisar,1998,,,,,,,,,,0,
73,3,Afyonkarahisar,1999,,,,,,,,,,0,
74,3,Afyonkarahisar,2000,,,,,,,,,,0,
75,3,afyonkarahisar,2001,,,,,,,,,,0,
76,3,afyonkarahisar,2002,,,,,,,,1.94,,0,
77,3,afyonkarahisar,2003,,,,,,,,1.955,,0,
78,3,afyonkarahisar,2004,,,,,,,,1.9566667,,0,
79,3,afyonkarahisar,2005,,,,,,,,1.9025,,0,
80,3,afyonkarahisar,2006,,,,,,,,1.83,,0,
81,3,afyonkarahisar,2007,,,,,,,4.0728407,1.712,,0,
82,3,afyonkarahisar,2008,,,,,,,4.1016746,1.578,,0,
83,3,afyonkarahisar,2009,,,,,,,4.063176,1.452,,0,-0.094685584
84,3,afyonkarahisar,2010,0,0,697559,98.167175,1.8328214,0,4.1500306,1.378,1.5625918,0,-0.101964876
85,3,afyonkarahisar,2011,0,0,698626,98.167175,1.8328214,0,4.2237825,1.394,1.5759505,0,-0.11241506
86,3,afyonkarahisar,2012,1,1,703948,98.167175,1.8328214,0,4.229459,1.414,1.5967089,0,-0.108885884
87,3,afyonkarahisar,2013,2,1,707123,98.167175,1.8328214,0,4.2711825,1.418,1.6022673,1,-0.10815194
88,3,afyonkarahisar,2014,2,2,706371,98.167175,1.8328214,0,4.32155,1.41,1.6237926,1,-0.10934779
89,3,afyonkarahisar,2015,2,2,709015,98.167175,1.8328214,0,4.3708544,1.41,1.6177373,0,-0.10976529
90,3,afyonkarahisar,2016,1,0,714523,98.167175,1.8328214,0,4.3971524,1.364,1.6388556,0,-0.10916367
91,3,afyonkarahisar,2017,4,4,715693,98.167175,1.8328214,0,4.418556,1.348,1.6417654,0,-0.1054474
92,3,Afyonkarahisar,2018,,,,,,,,1.35,,0,-0.10871486
93,4,Agri,1986,,,,,,,,,,0,
94,4,Agri,1987,,,,,,,,,,0,
95,4,Agri,1988,,,,,,,,,,0,
96,4,Agri,1991,,,,,,,,,,0,
97,4,Agri,1992,,,,,,,,,,0,
98,4,Agri,1993,,,,,,,,,,0,
99,4,Agri,1994,,,,,,,,,,0,
100,4,Agri,1995,,,,,,,,,,0,
101,4,Agri,1996,,,,,,,,,,0,
102,4,Agri,1997,,,,,,,,,,0,
103,4,Agri,1998,,,,,,,,,,0,
104,4,Agri,1999,,,,,,,,,,0,
105,4,Agri,2000,,,,,,,,,,0,
106,4,agri,2001,,,,,,,,,,0,
107,4,agri,2002,,,,,,,,0.16,,0,
108,4,agri,2003,,,,,,,,0.155,,0,
109,4,agri,2004,,,,,,,,0.16,,0,
110,4,agri,2005,,,,,,,,0.1675,,0,
111,4,agri,2006,,,,,,,,0.172,,0,
112,4,agri,2007,,,,,,,3.2648356,0.18,,0,
113,4,agri,2008,,,,,,,3.2340546,0.198,,0,
114,4,agri,2009,,,,,,,3.2441244,0.206,,0,-0.078370586
115,4,AGRI,2010,1,1,542022,15.413678,84.106926,5.638355,3.4639869,0.212,1.5405278,0,-0.079818524
116,4,AGRI,2011,0,0,555479,15.413678,84.106926,5.638355,3.468833,0.216,1.5176091,0,-0.09604575
117,4,AGRI,2012,1,1,552404,15.413678,84.106926,5.638355,3.5463946,0.232,1.5767446,0,-0.087430306
118,4,AGRI,2013,2,2,551177,15.413678,84.106926,5.638355,3.5650904,0.242,1.6020262,1,-0.086224
119,4,AGRI,2014,2,2,549435,15.413678,84.106926,5.638355,3.5584946,0.27,1.6289461,1,-0.08654669
120,4,AGRI,2015,0,0,547210,15.413678,84.106926,5.638355,3.6187139,0.304,1.6355696,0,-0.083903745
121,4,AGRI,2016,0,0,542255,15.413678,84.106926,5.638355,3.6891143,0.334,1.6689565,0,-0.08309839
122,4,AGRI,2017,3,3,536285,15.413678,84.106926,5.638355,3.721309,0.348,1.7117764,0,-0.08006203
123,4,Agri,2018,,,,,,,,0.354,,0,-0.08229126
124,5,Amasya,1986,,,,,,,,,,0,
125,5,Amasya,1987,,,,,,,,,,0,
126,5,Amasya,1988,,,,,,,,,,0,
127,5,Amasya,1991,,,,,,,,,,0,
128,5,Amasya,1992,,,,,,,,,,0,
129,5,Amasya,1993,,,,,,,,,,0,
130,5,Amasya,1994,,,,,,,,,,0,
131,5,Amasya,1995,,,,,,,,,,0,
132,5,Amasya,1996,,,,,,,,,,0,
