,age,date,district,city,perpetrator_en_new,excuses_cat
0,18.0,31/12/2017,Esenyurt, Istanbul,boyfriend,Unknown
1,17.0,31/12/2017,Ağlasun, Burdur,boyfriend,Separation & Jealousy
2,38.0,30/12/2017,Merkez, Bolu,boyfriend,Other
3,53.0,27/12/2017,Etimesgut, Ankara,boyfriend,Separation & Jealousy
4,22.0,25/12/2017,Yenişehir, Diyarbakır,partner,Separation & Jealousy
5,49.0,24/12/2017,Merkez, Uşak,son,Unknown
6,38.0,24/12/2017,Milas, Muğla,boyfriend,Separation & Jealousy
7,38.0,23/12/2017,Antakya, Hatay,ex-partner,Separation & Jealousy
8,28.0,23/12/2017,Çukurova, Adana,ex-partner,Other
9,40.0,19/12/2017,Karabağlar, İzmir,boyfriend,Unknown
10,21.0,19/12/2017,Bornova, İzmir,known man,Other
11,37.0,18/12/2017,Kozan, Adana,boyfriend,Separation & Jealousy
12,36.0,18/12/2017,Ceyhan, Adana,known man,Other
13,43.0,17/12/2017,Ahmetli, Manisa,partner,Other
14,33.0,13/12/2017,Merkez, Sivas,partner,Other
15,7.0,13/12/2017,Melikgazi, Kayseri,father,Other
16,41.0,13/12/2017,Melikgazi, Kayseri,partner,Other
17,16.0,13/12/2017,Melikgazi, Kayseri,father,Other
18,30.0,11/12/2017,Dilovası, Kocaeli,partner,Other
19,40.0,10/12/2017,Osmangazi, Bursa,known man,Separation & Jealousy
20,35.0,9/12/2017,Bahçelievler, Istanbul,son,Unknown
21,41.0,6/12/2017,Suluova, Amasya,partner,Separation & Jealousy
22,35.0,5/12/2017,Merkez, Batman,relative,Unknown
23,27.0,5/12/2017,Kepez, Antalya,partner,Separation & Jealousy
24,19.0,5/12/2017,Muratlı, Tekirdağ,known man,Separation & Jealousy
25,,4/12/2017,Silvan, Diyarbakır,partner,Unknown
26,11.0,3/12/2017,Gökçebey, Zonguldak,father,Other
27,22.0,3/12/2017,Yıldırım, Bursa,partner,Separation & Jealousy
28,17.0,3/12/2017,Kartal, Istanbul,boyfriend,Separation & Jealousy
29,39.0,3/12/2017,Gökçebey, Zonguldak,ex-partner,Other
30,40.0,30/11/2017,Merkez, Düzce,partner,Other
31,16.0,27/11/2017,Gaziosmanpaşa, Istanbul,boyfriend,Sexual expectation
32,40.0,27/11/2017,Üsküdar, Istanbul,partner,Separation & Jealousy
33,20.0,26/11/2017,Merkez, Şanlıurfa,father,Unknown
34,,25/11/2017,Gökçebey, Zonguldak,son,Other
35,60.0,24/11/2017,Selçuklu, Konya,partner,Unknown
36,19.0,19/11/2017,Adapazarı, Sakarya,father,Unknown
37,28.0,18/11/2017,Sorgun, Yozgat,partner,Separation & Jealousy
38,35.0,17/11/2017,Seyhan, Adana,son,Other
39,49.0,16/11/2017,Bağlar, Diyarbakır,brother,Other
40,32.0,14/11/2017,Sancaktepe, Istanbul,partner,Unknown
41,25.0,12/11/2017,Anamur, Mersin,boyfriend,Unknown
42,24.0,11/11/2017,Akyazı, Sakarya,ex-partner,Unknown
43,64.0,4/11/2017,Merkez, Aksaray,partner,Unknown
44,35.0,2/11/2017,Merkez, Denizli,ex-partner,Separation & Jealousy
45,35.0,31/10/2017,Esenyurt, Istanbul,partner,Separation & Jealousy
46,21.0,30/10/2017,Ceyhan, Adana,known man,Unknown
47,38.0,28/10/2017,Döşemealtı, Antalya,boyfriend,Other
48,62.0,28/10/2017,Kadıköy, Istanbul,partner,Separation & Jealousy
49,31.0,22/10/2017,Şuhut, Afyonkarahisar,partner,Unknown
50,31.0,20/10/2017,Gebze, Kocaeli,boyfriend,Masculinity&Honor
51,32.0,17/10/2017,Şahinbey, Gaziantep,partner,Separation & Jealousy
52,33.0,15/10/2017,Gebze, Kocaeli,partner,Unknown
53,47.0,15/10/2017,Muratpaşa, Antalya,partner,Unknown
54,23.0,15/10/2017,Muratpaşa, Antalya,father,Unknown
55,17.0,14/10/2017,Pendik, Istanbul,known man,Separation & Jealousy
56,24.0,14/10/2017,Bağcılar, Istanbul,brother,Masculinity&Honor
57,22.0,13/10/2017,Merkez, Elazığ,father,Other
58,39.0,12/10/2017,Merkez, Düzce,partner,Unknown
59,36.0,11/10/2017,Başakşehir, Istanbul,ex-partner,Separation & Jealousy
60,20.0,10/10/2017,Bahçelievler, Istanbul,relative,Woman Decision and Preferences
61,44.0,10/10/2017,Devrek, Zonguldak,son,Masculinity&Honor
62,47.0,9/10/2017,Çerkezköy, Tekirdağ,partner,Masculinity&Honor
63,25.0,8/10/2017,Merkez, Kars,partner,Other
64,55.0,8/10/2017,Soma, Manisa,partner,Other
65,23.0,7/10/2017,Aydıncık, Yozgat,partner,Unknown
66,56.0,7/10/2017,Aydıncık, Yozgat,partner,Unknown
67,35.0,7/10/2017,Merkez, Bolu,partner,Unknown
68,37.0,7/10/2017,Didim, Aydın,known man,Sexual expectation
69,53.0,5/10/2017,Merkez, Tekirdağ,partner,Unknown
70,75.0,5/10/2017,Salihli, Manisa,partner,Other
71,36.0,4/10/2017,Merkez, Kastamonu,partner,Separation & Jealousy
72,42.0,4/10/2017,Erbaa, Tokat,known man,Fight
73,,3/10/2017,Merkez, Isparta,partner,Other
74,26.0,30/09/2017,Turhal, Tokat,relative,Masculinity&Honor
75,31.0,28/09/2017,Merkez, Uşak,ex-partner,Unknown
76,31.0,27/09/2017,Merkez, Denizli,ex-partner,Masculinity&Honor
77,6.0,26/09/2017,Edremit, Balıkesir,known man,Other
78,70.0,26/09/2017,Merkez, Şanlıurfa,son,Other
79,32.0,23/09/2017,Konak, İzmir,known man,Other
