,prov_code,prov_name,year,all_wm_prov,knows_wm_prov,total_pop,ethnic_turkish,ethnic_kurdish,ln_casualty,ln_gdppc_cons,divorce_rate_ma5,mosques_perk,ceasefire,fm_diff_educ,count,party,pol_attitude,lat,lng,count_k,count_scaled
0,1,adana,2010,20,19,2085225,82.03772,13.370917,3.1780539,4.1877975,1.458,0.60664916,0,-0.06288165,20,MHP,-29.7,37,35.325,0.009591291,36.53
1,1,adana,2011,15,15,2108805,82.03772,13.370917,3.1780539,4.270533,1.532,0.5998658,0,-0.06818777,15,MHP,-29.7,37,35.325,0.007113033,27.09
2,1,adana,2012,9,9,2125635,82.03772,13.370917,3.1780539,4.310695,1.632,0.6407497,0,-0.06709957,9,MHP,-29.7,37,35.325,0.004234029,16.13
3,1,adana,2013,7,7,2149260,82.03772,13.370917,3.1780539,4.3507123,1.712,0.65185225,1,-0.06671113,7,MHP,-33.6,37,35.325,0.003256935,12.4
4,1,adana,2014,14,14,2165595,82.03772,13.370917,3.1780539,4.3790603,1.79,0.65432364,1,-0.0671466,14,MHP,-33.6,37,35.325,0.006464736,24.62
5,1,adana,2015,12,12,2183167,82.03772,13.370917,3.1780539,4.421428,1.824,0.6490571,0,-0.06585774,12,MHP,-33.6,37,35.325,0.005496602,20.93
6,1,adana,2016,11,10,2201670,82.03772,13.370917,3.1780539,4.455729,1.89,0.65086955,0,-0.06417319,11,MHP,-33.6,37,35.325,0.004996207,19.03
7,1,adana,2017,18,18,2216475,82.03772,13.370917,3.1780539,4.5086017,1.882,0.65238726,0,-0.06269407,18,CHP,107.26,37,35.325,0.008121003,30.93
8,2,adiyaman,2010,0,0,590935,28.144897,70.21079,3.7612002,3.7191708,0.744,1.1862557,0,-0.10079217,1,AKP,-98.6,37.7644,38.2763,0,NULL
9,2,adiyaman,2011,1,1,593931,28.144897,70.21079,3.7612002,3.8266168,0.74,1.190374,0,-0.106139034,1,AKP,-98.6,37.7644,38.2763,0.001683697,6.41
10,2,adiyaman,2012,1,1,595261,28.144897,70.21079,3.7612002,3.8406134,0.748,1.2263528,0,-0.10638426,2,AKP,-98.6,37.7644,38.2763,0.001679935,6.4
11,2,adiyaman,2013,2,2,597184,28.144897,70.21079,3.7612002,3.947309,0.762,1.2374746,1,-0.10291308,1,AKP,-113,37.7644,38.2763,0.003349052,12.75
12,2,adiyaman,2014,0,0,597835,28.144897,70.21079,3.7612002,4.0243244,0.814,1.2444905,1,-0.10177758,1,AKP,-113,37.7644,38.2763,0,NULL
13,2,adiyaman,2015,1,1,602774,28.144897,70.21079,3.7612002,4.050076,0.806,1.2342935,0,-0.1024912,2,AKP,-113,37.7644,38.2763,0.001658997,6.32
14,2,adiyaman,2016,0,0,610484,28.144897,70.21079,3.7612002,4.060205,0.854,1.2449138,0,-0.09956594,2,AKP,-113,37.7644,38.2763,0,NULL
15,2,adiyaman,2017,0,0,615076,28.144897,70.21079,3.7612002,4.0970206,0.872,1.250252,0,-0.094524905,2,AKP,-106.44,37.7644,38.2763,0,NULL
16,3,afyonkarahisar,2010,0,0,697559,98.167175,1.8328214,0,4.1500306,1.378,1.5625918,0,-0.101964876,1,AKP,-96.4,38.7581,30.5386,0,NULL
17,3,afyonkarahisar,2011,0,0,698626,98.167175,1.8328214,0,4.2237825,1.394,1.5759505,0,-0.11241506,4,AKP,-96.4,38.7581,30.5386,0,NULL
18,3,afyonkarahisar,2012,1,1,703948,98.167175,1.8328214,0,4.229459,1.414,1.5967089,0,-0.108885884,1,AKP,-96.4,38.7581,30.5386,0.001420559,5.41
19,3,afyonkarahisar,2013,2,1,707123,98.167175,1.8328214,0,4.2711825,1.418,1.6022673,1,-0.10815194,1,AKP,-98.8,38.7581,30.5386,0.002828362,10.77
20,3,afyonkarahisar,2014,2,2,706371,98.167175,1.8328214,0,4.32155,1.41,1.6237926,1,-0.10934779,2,AKP,-98.8,38.7581,30.5386,0.002831373,10.78
21,3,afyonkarahisar,2015,2,2,709015,98.167175,1.8328214,0,4.3708544,1.41,1.6177373,0,-0.10976529,2,AKP,-98.8,38.7581,30.5386,0.002820815,10.74
22,3,afyonkarahisar,2016,1,0,714523,98.167175,1.8328214,0,4.3971524,1.364,1.6388556,0,-0.10916367,3,AKP,-98.8,38.7581,30.5386,0.001399535,5.33
23,3,afyonkarahisar,2017,4,4,715693,98.167175,1.8328214,0,4.418556,1.348,1.6417654,0,-0.1054474,1,AKP,-85.92,38.7581,30.5386,0.005588989,21.29
24,4,agri,2010,1,1,542022,15.413678,84.106926,5.638355,3.4639869,0.212,1.5405278,0,-0.079818524,2,AKP,-79.2,39.7225,43.0544,0.001844944,7.03
25,4,agri,2011,0,0,555479,15.413678,84.106926,5.638355,3.468833,0.216,1.5176091,0,-0.09604575,1,AKP,-79.2,39.7225,43.0544,0,NULL
26,4,agri,2012,1,1,552404,15.413678,84.106926,5.638355,3.5463946,0.232,1.5767446,0,-0.087430306,1,AKP,-79.2,39.7225,43.0544,0.001810269,6.89
27,4,agri,2013,2,2,551177,15.413678,84.106926,5.638355,3.5650904,0.242,1.6020262,1,-0.086224,1,BDP,0,39.7225,43.0544,0.003628598,13.82
28,4,agri,2014,2,2,549435,15.413678,84.106926,5.638355,3.5584946,0.27,1.6289461,1,-0.08654669,20,BDP,0,39.7225,43.0544,0.003640103,13.86
29,4,agri,2015,0,0,547210,15.413678,84.106926,5.638355,3.6187139,0.304,1.6355696,0,-0.083903745,10,BDP,0,39.7225,43.0544,0,NULL
30,4,agri,2016,0,0,542255,15.413678,84.106926,5.638355,3.6891143,0.334,1.6689565,0,-0.08309839,16,BDP,0,39.7225,43.0544,0,NULL
31,4,agri,2017,3,3,536285,15.413678,84.106926,5.638355,3.721309,0.348,1.7117764,0,-0.08006203,9,AKP,-111.14,39.7225,43.0544,0.00559404,21.3
32,5,amasya,2010,1,0,334786,100,0,1.3862944,4.1869845,1.078,1.9803696,0,-0.11596309,14,AKP,-80.2,40.65,35.8333,0.002986983,11.38
33,5,amasya,2011,2,2,323079,100,0,1.3862944,4.311354,1.08,2.0768914,0,-0.11575326,18,AKP,-80.2,40.65,35.8333,0.006190436,23.58
34,5,amasya,2012,0,0,322283,100,0,1.3862944,4.3327756,1.126,2.1161525,0,-0.117475346,13,AKP,-80.2,40.65,35.8333,0,NULL
35,5,amasya,2013,0,0,321977,100,0,1.3862944,4.377993,1.162,2.146116,1,-0.12280792,5,AKP,-87,40.65,35.8333,0,NULL
36,5,amasya,2014,1,1,321913,100,0,1.3862944,4.358618,1.226,2.1465428,1,-0.12558481,6,AKP,-87,40.65,35.8333,0.003106429,11.83
37,5,amasya,2015,0,0,322167,100,0,1.3862944,4.4561386,1.272,2.1448503,0,-0.1225819,9,AKP,-87,40.65,35.8333,0,NULL
38,5,amasya,2016,1,1,326351,100,0,1.3862944,4.466351,1.312,2.080582,0,-0.12236178,6,AKP,-87,40.65,35.8333,0.003064185,11.67
39,5,amasya,2017,1,1,329888,100,0,1.3862944,4.491895,1.33,2.064337,0,-0.12128848,10,MHP,-47.28,40.65,35.8333,0.003031332,11.54
40,6,ankara,2010,20,19,4771716,98.271225,0.4321942,0,4.896542,1.96,0.5842762,0,-0.076327056,8,AKP,-77,39.93,32.85,0.004191364,15.96
41,6,ankara,2011,10,10,4890893,98.271225,0.4321942,0,4.969082,2.008,0.57596844,0,-0.07874817,12,AKP,-77,39.93,32.85,0.002044616,7.79
42,6,ankara,2012,16,16,4965542,98.271225,0.4321942,0,4.9594994,2.068,0.57899016,0,-0.07585204,16,AKP,-77,39.93,32.85,0.003222206,12.27
43,6,ankara,2013,9,9,5045083,98.271225,0.4321942,0,5.0097227,2.148,0.57719564,1,-0.07733157,15,AKP,-89.8,39.93,32.85,0.001783915,6.79
44,6,ankara,2014,14,14,5150072,98.271225,0.4321942,0,5.0105057,2.202,0.5737784,1,-0.0808157,1,AKP,-89.8,39.93,32.85,0.002718409,10.35
45,6,ankara,2015,18,18,5270575,98.271225,0.4321942,0,5.0431695,2.214,0.56805944,0,-0.07828298,7,AKP,-89.8,39.93,32.85,0.003415187,13.01
46,6,ankara,2016,14,14,5346518,98.271225,0.4321942,0,5.080376,2.198,0.5672851,0,-0.07454023,3,AKP,-89.8,39.93,32.85,0.002618527,9.97
47,6,ankara,2017,5,5,5445026,98.271225,0.4321942,0,5.114053,2.162,0.56326634,0,-0.07532671,4,CHP,101.86,39.93,32.85,0.000918269,3.5
48,7,antalya,2010,6,5,1978333,93.47289,5.405746,2.8903718,4.7319584,2.162,1.0412807,0,-0.05549422,5,CHP,81.6,36.9081,30.6956,0.003032856,11.55
49,7,antalya,2011,9,9,2043482,93.47289,5.405746,2.8903718,4.8088593,2.316,1.0261896,0,-0.059131503,5,CHP,81.6,36.9081,30.6956,0.004404247,16.77
50,7,antalya,2012,6,5,2092537,93.47289,5.405746,2.8903718,4.774946,2.464,1.0179031,0,-0.05914566,6,CHP,81.6,36.9081,30.6956,0.002867333,10.92
51,7,antalya,2013,10,10,2158265,93.47289,5.405746,2.8903718,4.790795,2.564,0.9929272,1,-0.05821404,5,AKP,-72.8,36.9081,30.6956,0.004633351,17.65
52,7,antalya,2014,8,8,2222562,93.47289,5.405746,2.8903718,4.7948537,2.674,0.97230136,1,-0.06170124,4,AKP,-72.8,36.9081,30.6956,0.00359945,13.71
53,7,antalya,2015,12,12,2288456,93.47289,5.405746,2.8903718,4.831799,2.726,0.9539183,0,-0.061507016,1,AKP,-72.8,36.9081,30.6956,0.00524371,19.97
54,7,antalya,2016,16,16,2328555,93.47289,5.405746,2.8903718,4.760686,2.734,0.9477981,0,-0.057923704,7,AKP,-72.8,36.9081,30.6956,0.006871214,26.17
55,7,antalya,2017,15,15,2364396,93.47289,5.405746,2.8903718,4.8125505,2.666,0.9486567,0,-0.05765137,3,CHP,101.24,36.9081,30.6956,0.006344115,24.16
56,8,artvin,2010,0,0,164759,48.17907,0,2.0794415,4.3886604,0.782,4.1393795,0,-0.1419249,2,CHP,87.4,41.1822,41.8194,0,NULL
57,8,artvin,2011,0,0,166394,48.17907,0,2.0794415,4.43504,0.824,4.0866857,0,-0.15380219,2,CHP,87.4,41.1822,41.8194,0,NULL
58,8,artvin,2012,0,0,167082,48.17907,0,2.0794415,4.473485,0.858,4.075843,0,-0.15248749,6,CHP,87.4,41.1822,41.8194,0,NULL
59,8,artvin,2013,0,0,169334,48.17907,0,2.0794415,4.492002,0.864,4.051165,1,-0.15086843,6,AKP,-92.6,41.1822,41.8194,0,NULL
60,8,artvin,2014,0,0,169674,48.17907,0,2.0794415,4.508514,0.918,4.066622,1,-0.1572333,8,AKP,-92.6,41.1822,41.8194,0,NULL
61,8,artvin,2015,0,0,168370,48.17907,0,2.0794415,4.56878,0.942,4.0981174,0,-0.15557691,1,AKP,-92.6,41.1822,41.8194,0,NULL
62,8,artvin,2016,1,1,168068,48.17907,0,2.0794415,4.5898128,0.92,4.141181,0,-0.1532042,1,AKP,-92.6,41.1822,41.8194,0.005949973,22.66
63,8,artvin,2017,0,0,166143,48.17907,0,2.0794415,4.658476,0.908,4.1951814,0,-0.14918613,1,CHP,101.92,41.1822,41.8194,0,NULL
64,9,aydin,2010,7,6,989862,68.024796,31.9752,1.0986123,4.1862707,1.87,1.1223787,0,-0.048866346,1,CHP,52,37.8481,27.8453,0.007071693,26.93
65,9,aydin,2011,3,2,999163,68.024796,31.9752,1.0986123,4.2780695,1.952,1.1089282,0,-0.05339119,1,CHP,52,37.8481,27.8453,0.003002513,11.44
66,9,aydin,2012,4,4,1006541,68.024796,31.9752,1.0986123,4.308888,2.028,1.1067606,0,-0.051643148,1,CHP,52,37.8481,27.8453,0.003974006,15.13
67,9,aydin,2013,5,5,1020957,68.024796,31.9752,1.0986123,4.3366685,2.086,1.0979894,1,-0.051712364,1,CHP,87.6,37.8481,27.8453,0.004897366,18.65
68,9,aydin,2014,5,5,1041979,68.024796,31.9752,1.0986123,4.359194,2.118,1.0787165,1,-0.05266419,1,CHP,87.6,37.8481,27.8453,0.004798561,18.28
69,9,aydin,2015,6,5,1053506,68.024796,31.9752,1.0986123,4.4017878,2.104,1.0669137,0,-0.053051263,1,CHP,87.6,37.8481,27.8453,0.005695269,21.69
70,9,aydin,2016,5,5,1068260,68.024796,31.9752,1.0986123,4.4294853,2.146,1.0662198,0,-0.052628607,1,CHP,87.6,37.8481,27.8453,0.004680508,17.83
