prov_code,ethnic_kurdish,ln_gdppc_cons,divorce_rate_ma5,mosques_perk,fm_diff_educ,pol_attitude,count_k
1,13.370917,4.1877975,1.458,0.60664916,-0.06288165,-29.7,0.00959129110767423
1,13.370917,4.270533,1.532,0.5998658,-0.06818777,-29.7,0.007113033210752061
1,13.370917,4.310695,1.632,0.6407497,-0.06709957,-29.7,0.00423402889019046
1,13.370917,4.3507123,1.712,0.65185225,-0.06671113,-33.6,0.003256934945050855
1,13.370917,4.3790603,1.79,0.65432364,-0.0671466,-33.6,0.00646473601943115
1,13.370917,4.421428,1.824,0.6490571,-0.06585774,-33.6,0.005496601954866485
1,13.370917,4.455729,1.89,0.65086955,-0.06417319,-33.6,0.004996207424364233
1,13.370917,4.5086017,1.882,0.65238726,-0.06269407,107.26,0.008121002943863568
2,70.21079,3.8266168,0.74,1.190374,-0.106139034,-98.6,0.0016836972644970543
2,70.21079,3.8406134,0.748,1.2263528,-0.10638426,-98.6,0.0016799353560874978
2,70.21079,3.947309,0.762,1.2374746,-0.10291308,-113.0,0.003349051548601436
2,70.21079,4.050076,0.806,1.2342935,-0.1024912,-113.0,0.0016589965725130813
3,1.8328214,4.229459,1.414,1.5967089,-0.108885884,-96.4,0.0014205594731429025
3,1.8328214,4.2711825,1.418,1.6022673,-0.10815194,-98.8,0.002828362250980381
3,1.8328214,4.32155,1.41,1.6237926,-0.10934779,-98.8,0.002831373315155917
3,1.8328214,4.3708544,1.41,1.6177373,-0.10976529,-98.8,0.002820814792352771
3,1.8328214,4.3971524,1.364,1.6388556,-0.10916367,-98.8,0.0013995350744482682
3,1.8328214,4.418556,1.348,1.6417654,-0.1054474,-85.92,0.005588988574710106
4,84.106926,3.4639869,0.212,1.5405278,-0.079818524,-79.2,0.0018449435631764026
4,84.106926,3.5463946,0.232,1.5767446,-0.087430306,-79.2,0.0018102692956604223
4,84.106926,3.5650904,0.242,1.6020262,-0.086224,0.0,0.0036285984357112143
4,84.106926,3.5584946,0.27,1.6289461,-0.08654669,0.0,0.0036401030149153225
4,84.106926,3.721309,0.348,1.7117764,-0.08006203,-111.14,0.005594040482206289
5,0.0,4.1869845,1.078,1.9803696,-0.11596309,-80.2,0.0029869827292658595
5,0.0,4.311354,1.08,2.0768914,-0.11575326,-80.2,0.006190436394813653
5,0.0,4.358618,1.226,2.1465428,-0.12558481,-87.0,0.0031064293768813312
5,0.0,4.466351,1.312,2.080582,-0.12236178,-87.0,0.0030641854935330366
5,0.0,4.491895,1.33,2.064337,-0.12128848,-47.28,0.003031331845959841
6,0.4321942,4.896542,1.96,0.5842762,-0.076327056,-77.0,0.004191364280690636
6,0.4321942,4.969082,2.008,0.57596844,-0.07874817,-77.0,0.0020446163921394316
6,0.4321942,4.9594994,2.068,0.57899016,-0.07585204,-77.0,0.0032222061559443057
6,0.4321942,5.0097227,2.148,0.57719564,-0.07733157,-89.8,0.0017839151506526256
6,0.4321942,5.0105057,2.202,0.5737784,-0.0808157,-89.8,0.002718408597006022
6,0.4321942,5.0431695,2.214,0.56805944,-0.07828298,-89.8,0.0034151871475123683
6,0.4321942,5.080376,2.198,0.5672851,-0.07454023,-89.8,0.0024314890551196127
6,0.4321942,5.114053,2.162,0.56326634,-0.07532671,101.86,0.000918269260789572
7,5.405746,4.7319584,2.162,1.0412807,-0.05549422,81.6,0.00303285645035492
7,5.405746,4.8088593,2.316,1.0261896,-0.059131503,81.6,0.004404247260313523
7,5.405746,4.774946,2.464,1.0179031,-0.05914566,81.6,0.0028673328117973544
7,5.405746,4.790795,2.564,0.9929272,-0.05821404,-72.8,0.004633351326180983
7,5.405746,4.7948537,2.674,0.97230136,-0.06170124,-72.8,0.00359944964414941
7,5.405746,4.831799,2.726,0.9539183,-0.061507016,-72.8,0.005243710169651503
7,5.405746,4.760686,2.734,0.9477981,-0.057923704,-72.8,0.006871214122062824
7,5.405746,4.8125505,2.666,0.9486567,-0.05765137,101.24,0.006344114945212223
8,0.0,4.5898128,0.92,4.141181,-0.1532042,-92.6,0.005949972630125901
9,31.9752,4.1862707,1.87,1.1223787,-0.048866346,52.0,0.007071692821827689
9,31.9752,4.2780695,1.952,1.1089282,-0.05339119,52.0,0.003002513103467602
9,31.9752,4.308888,2.028,1.1067606,-0.051643148,52.0,0.0039740060265801395
9,31.9752,4.3366685,2.086,1.0979894,-0.051712364,87.6,0.004897365902775533
9,31.9752,4.359194,2.118,1.0787165,-0.05266419,87.6,0.004798561199409968
9,31.9752,4.4017878,2.104,1.0669137,-0.053051263,87.6,0.005695268940091466
9,31.9752,4.4294853,2.146,1.0662198,-0.052628607,87.6,0.004680508490442402
9,31.9752,4.5008326,2.142,1.0547361,-0.054177284,107.88,0.0037008287080684543
10,0.5780639,4.3937593,1.668,1.4214765,-0.08686149,-41.1,0.0008678122366732245
10,0.5780639,4.4788666,1.704,1.4233562,-0.09200135,-41.1,0.006064207832530836
10,0.5780639,4.4797916,1.776,1.4249641,-0.08902086,-41.1,0.002584578166689784
10,0.5780639,4.48488,1.846,1.4310765,-0.09166533,-79.6,0.0017200439299219702
10,0.5780639,4.507387,1.924,1.4036334,-0.09345198,-79.6,0.0016820051519817805
10,0.5780639,4.5351443,1.964,1.4064354,-0.094206184,-79.6,0.005056088879301046
10,0.5780639,4.582847,1.99,1.3961157,-0.09074339,-79.6,0.00501598426987333
10,0.5780639,4.637985,1.978,1.3910745,-0.093445,-95.56,0.006639973971302032
11,10.233222,4.9004292,1.52,1.9816601,-0.12602544,-79.4,0.004763606049779683
11,10.233222,4.912979,1.57,1.9589285,-0.12517491,-79.4,0.004708962568456543
11,10.233222,4.930749,1.576,1.908044,-0.12777656,101.28,0.00451074233286572
12,95.26038,4.033595,0.488,2.1633031,-0.13699976,-116.8,0.0037427390861728247
13,88.04076,3.56304,0.13,2.0713758,-0.124400266,-86.2,0.0030416678072920944
13,88.04076,3.692835,0.15,2.0586767,-0.14548372,-86.2,0.002970673511098436
13,88.04076,3.9235806,0.218,2.0836692,-0.14596446,0.0,0.0029306176276650306
14,3.1694732,4.6458063,1.13,4.4762692,-0.11331919,-86.8,0.0036872068670540693
14,3.1694732,4.7497406,1.196,4.394118,-0.1156988,-86.8,0.0036165580493732505
14,3.1694732,4.7559986,1.226,4.383094,-0.11128782,-86.8,0.0035577059911768892
14,3.1694732,4.8396287,1.426,4.3435664,-0.11750242,-99.2,0.0035113715768516343
14,3.1694732,4.852601,1.452,4.2494717,-0.11432704,-99.2,0.010305913876913035
14,3.1694732,4.8276687,1.432,4.184784,-0.10614684,-99.2,0.006668978579240804
14,3.1694732,4.860384,1.418,4.1525936,-0.10691166,105.42,0.013193308354002849
15,0.0,4.5386677,1.534,2.051675,-0.08801244,-80.0,0.003991585737265844
15,0.0,4.530688,1.618,2.0406814,-0.08215435,88.8,0.0077740246514321695
15,0.0,4.569504,1.642,2.0552905,-0.08802244,88.8,0.007785191009661422
15,0.0,4.617891,1.634,2.0313618,-0.0908097,88.8,0.00382554007061947
15,0.0,4.6216054,1.602,2.0129995,-0.098983794,106.28,0.007553469119529871
16,6.7922735,4.5811043,1.338,0.6240657,-0.08648828,-94.6,0.004605650749665611
16,6.7922735,4.7097282,1.404,0.62063414,-0.09179683,-94.6,0.0018852799603035451
16,6.7922735,4.7278438,1.502,0.6175202,-0.090711355,-94.6,0.002604001010352392
16,6.7922735,4.782153,1.612,0.6125569,-0.09083238,-99.2,0.0014593373878590426
16,6.7922735,4.809549,1.702,0.6059108,-0.092168,-99.2,0.002869915003879766
16,6.7922735,4.850818,1.784,0.5941854,-0.09177977,-99.2,0.0038697689079547322
16,6.7922735,4.870123,1.826,0.59385204,-0.09052646,-99.2,0.0020679700392500716
16,6.7922735,4.943346,1.844,0.58975697,-0.08850315,-99.24,0.005107594891451691
17,2.2420437,4.5534596,1.338,1.6252139,-0.09021366,78.8,0.006117492562148627
17,2.2420437,4.6547985,1.55,1.6366513,-0.082659855,78.8,0.006076675491349852
17,2.2420437,4.6914268,1.63,1.594404,-0.087540805,108.8,0.0019539264151312062
17,2.2420437,4.722859,1.664,1.5895866,-0.08691186,108.8,0.0019480228542041256
18,0.0,4.18777,1.014,3.6410952,-0.12265676,-93.8,0.00558450189035389
18,0.0,4.3000455,1.03,3.7525887,-0.12599665,-93.8,0.005642990559276795
18,0.0,4.290793,1.07,3.882737,-0.13387217,-93.8,0.005422817044998536
18,0.0,4.3249393,1.09,3.7766685,-0.12763391,-108.6,0.005238097732427492
19,0.0,4.138444,1.276,2.4149942,-0.092127874,-91.4,0.0037354899562013805
19,0.0,4.2089925,1.324,2.4187303,-0.09886901,-91.4,0.001870634406952774
19,0.0,4.205148,1.386,2.4642673,-0.09943569,-91.4,0.003773762913344969
19,0.0,4.232025,1.394,2.463915,-0.09896383,-101.4,0.005638249887235002
19,0.0,4.2612724,1.458,2.4904215,-0.10101347,-101.4,0.005690224194833277
19,0.0,4.3170986,1.446,2.5000951,-0.09951115,-101.4,0.005712327202102137
19,0.0,4.344905,1.468,2.5006487,-0.09770043,-101.4,0.007577723765446716
19,0.0,4.3861046,1.436,2.5131428,-0.0950717,-86.56,0.001892426886087256
20,3.1739645,4.3815317,2.116,1.2588228,-0.056118608,-80.0,0.00321949554797424
20,3.1739645,4.514135,2.148,1.2533456,-0.0606509,-80.0,0.006367547581499302
20,3.1739645,4.5824833,2.28,1.2351266,-0.05745265,-90.6,0.004151685999684472
20,3.1739645,4.6204276,2.336,1.2220292,-0.058599085,-90.6,0.0030652906917339327
20,3.1739645,4.6312523,2.328,1.2038951,-0.060492426,-90.6,0.002013202582536273
20,3.1739645,4.677052,2.32,1.1981859,-0.058745205,-90.6,0.002983035477240931
20,3.1739645,4.741868,2.322,1.191674,-0.059099317,-101.12,0.004908047725856087
21,86.48177,3.7504244,0.354,1.1347598,-0.095155545,0.0,0.0045782814178021896
21,86.48177,3.8511007,0.372,1.1209828,-0.105744764,0.0,0.00190968100052007
21,86.48177,3.8881574,0.392,1.2216055,-0.10279806,0.0,0.00439652373149299
21,86.48177,3.9431145,0.426,1.223065,-0.09982729,0.0,0.0062210836256724215
21,86.48177,3.959482,0.45,1.2036344,-0.10052511,0.0,0.002446411359177223
21,86.48177,4.004107,0.464,1.2114646,-0.09839186,0.0,0.004231662995195249
21,86.48177,4.0304484,0.466,1.2019467,-0.09557715,0.0,0.001793058353888755
21,86.48177,4.0682225,0.47,1.1912458,-0.09479064,0.0,0.00294134776084019
22,0.0,4.438927,1.462,0.99890375,-0.059556708,114.2,0.0051225834212710155
22,0.0,4.476826,1.526,0.9766701,-0.06701583,114.2,0.00250428232277194
22,0.0,4.529111,1.612,0.9809776,-0.06211579,73.8,0.005017788058667978
22,0.0,4.5668097,1.622,0.99180573,-0.06655297,73.8,0.0074947536724293
22,0.0,4.5807457,1.628,0.98624474,-0.061444998,73.8,0.004968487368862987
22,0.0,4.6015344,1.65,1.0007443,-0.071741104,73.8,0.00497882753590357
22,0.0,4.617132,1.632,0.9905249,-0.06677821,89.74,0.004915756227648671
23,47.83816,4.171932,1.076,1.6954433,-0.15038322,-95.6,0.007161323126060771
23,47.83816,4.2104135,1.054,1.7149366,-0.14963853,-95.6,0.003554272857973034
23,47.83816,4.238261,1.108,1.708788,-0.14652725,-111.6,0.005279468674272621
23,47.83816,4.248102,1.132,1.6984526,-0.14656226,-111.6,0.0017582324840484356
23,47.83816,4.2946377,1.124,1.682036,-0.15082319,-111.6,0.0017412380899314648
23,47.83816,4.320339,1.114,1.6949182,-0.14964724,-111.6,0.006910981376632935
23,47.83816,4.360137,1.1,1.6944478,-0.14547259,-80.76,0.0034265879236761807
24,25.884853,4.3327394,1.05,2.4672258,-0.13605244,-102.6,0.004445452080249301
24,25.884853,4.5625615,1.076,2.593099,-0.12949583,-102.6,0.004589556006351946
24,25.884853,4.567525,1.126,2.5955017,-0.13199343,-109.4,0.009091074383170602
24,25.884853,4.5461855,1.146,2.579424,-0.1291135,-109.4,0.004485954476533972
24,25.884853,4.5718765,1.13,2.5483117,-0.121268034,-109.4,0.00442415233241311
25,10.085778,3.966271,0.438,1.9490694,-0.12461251,-113.6,0.0013002463966921732
25,10.085778,4.0680137,0.506,1.9879336,-0.13000569,-113.6,0.0012850249616098792
25,10.085778,4.1279407,0.538,2.0359213,-0.12804809,-117.6,0.0026084835711183483
25,10.085778,4.1578484,0.568,2.0594246,-0.14137927,-117.6,0.005240266205523241
25,10.085778,4.2106376,0.58,2.0621235,-0.13123101,-117.6,0.003935350069065394
25,10.085778,4.2625093,0.61,2.0891812,-0.12868217,-117.6,0.001312299792262943
26,1.7616397,4.552857,1.864,0.9940046,-0.117694914,51.5,0.009155305368671068
26,1.7616397,4.6595516,1.942,0.9740837,-0.123453766,51.5,0.0025600098304377488
26,1.7616397,4.6924458,1.99,0.97372586,-0.12475601,51.5,0.0025324469768914218
26,1.7616397,4.7719507,2.054,0.9565196,-0.12563664,90.6,0.006155209769548946
26,1.7616397,4.8085685,2.076,0.93986326,-0.123563915,90.6,0.0036288156997082432
26,1.7616397,4.82583,2.066,0.92443323,-0.12332457,90.6,0.005918266374067577
26,1.7616397,4.867423,2.06,0.91097116,-0.12080121,104.6,0.0011619530106202506
27,25.568472,4.0198135,1.08,0.52917427,-0.07118794,-105.0,0.007055656784631368
27,25.568472,4.1427894,1.112,0.5177932,-0.075817466,-105.0,0.006843081302648957
27,25.568472,4.1694922,1.168,0.519572,-0.07405621,-105.0,0.002222768035261992
27,25.568472,4.280359,1.234,0.51506203,-0.07170987,-109.4,0.00487953512126729
27,25.568472,4.3397803,1.296,0.51337254,-0.07063846,-109.4,0.006351000758944591
27,25.568472,4.416656,1.328,0.50211304,-0.0698681,-109.4,0.006729349696351036
27,25.568472,4.4338007,1.332,0.5131078,-0.06444614,-109.4,0.007597845048535034
27,25.568472,4.493878,1.292,0.51208794,-0.06282735,-107.94,0.005484875455930272
28,0.0,4.0695252,1.152,3.3969173,-0.098205835,93.0,0.004767603182851884
28,0.0,4.1035695,1.178,3.5513818,-0.095987976,93.0,0.0023834777323592854
28,0.0,4.118594,1.172,3.5908313,-0.0990147,92.6,0.006977003795490065
28,0.0,4.198023,1.2,3.5368204,-0.09385845,92.6,0.0022498858182947216
28,0.0,4.281758,1.196,3.612312,-0.09327191,-97.68,0.0045725468857526295
29,0.0,4.3114843,0.658,3.6418796,-0.14623448,-115.0,0.006832794681352621
31,1.4021523,4.0366592,1.15,0.6348902,-0.07042895,-101.8,0.0013508301864618448
31,1.4021523,4.1797175,1.19,0.6450856,-0.069297835,-101.8,0.0006783234286807355
31,1.4021523,4.1638083,1.238,0.6618705,-0.067791685,-101.8,0.0013480050199706944
31,1.4021523,4.2050147,1.296,0.6659721,-0.07006943,82.4,0.001330613559218291
31,1.4021523,4.2285075,1.334,0.67638874,-0.06927054,82.4,0.0059216915509304946
31,1.4021523,4.2884345,1.372,0.67035884,-0.065653756,82.4,0.0032605002781206736
31,1.4021523,4.4176645,1.404,0.6811721,-0.062403575,110.32,0.003808977251518195
32,0.0,4.461946,1.226,1.6997167,-0.10404074,-38.7,0.0024316405062675536
32,0.0,4.4291835,1.36,1.7114516,-0.102053225,-44.5,0.002393638665881553
32,0.0,4.5439067,1.554,1.7153261,-0.10186046,-44.5,0.004680289429098295
32,0.0,4.55879,1.534,1.6988221,-0.10138446,-76.08,0.002305050365350483
33,14.965773,4.2847815,1.644,0.86959213,-0.06238386,62.0,0.0060683330713836225
33,14.965773,4.3697577,1.688,0.86753774,-0.06724237,62.0,0.005995423094010033
33,14.965773,4.4064612,1.786,0.8830269,-0.06618868,62.0,0.0017826921979881725
33,14.965773,4.4242086,1.856,0.87877995,-0.06602843,-32.0,0.002931220665809187
33,14.965773,4.467095,1.914,0.88348275,-0.06672171,-32.0,0.00521057979279261
33,14.965773,4.5271597,1.962,0.8743878,-0.06584355,-32.0,0.005729933343685413
33,14.965773,4.5583253,2.012,0.86929464,-0.06446496,-32.0,0.004509959117220603
33,14.965773,4.6051116,2.02,0.86736894,-0.06379816,90.18,0.0027871752035055976
34,10.784004,4.986245,1.726,0.23288122,-0.046082497,-88.4,0.0027912552237021326
34,10.784004,5.0965643,1.756,0.22848982,-0.048843563,-88.4,0.001981761918462975
34,10.784004,5.122495,1.804,0.23024611,-0.04801953,-88.4,0.0022375013894161853
34,10.784004,5.1708393,1.868,0.22760549,-0.046464473,-95.8,0.001977335916958106
34,10.784004,5.1870613,1.926,0.22737677,-0.04894334,-95.8,0.003199550838706608
34,10.784004,5.246823,1.95,0.22630155,-0.047354907,-95.8,0.002319642032841492
34,10.784004,5.2765107,1.954,0.2266937,-0.04415655,-95.8,0.0018238171059994396
34,10.784004,5.339387,1.936,0.22642542,-0.043720037,97.6,0.002461869140210833
36,65.159454,3.7948122,0.46,1.6171471,-0.07830125,-65.4,0.0033138259446060855
36,65.159454,3.8606033,0.444,1.5993197,-0.08687709,-65.4,0.006541184935651093
36,65.159454,3.916722,0.462,1.6501487,-0.080963954,-65.4,0.0032806138684670673
36,65.159454,3.9463208,0.478,1.7000263,-0.08221136,-28.4,0.003373068075259895
36,65.159454,4.0801373,0.484,1.722135,-0.08326778,-28.4,0.010250802979566733
36,65.159454,4.1850333,0.462,1.7868689,-0.08168711,0.0,0.0034763987290286247
37,0.0,4.2515025,0.99,7.0482974,-0.113774836,-49.3,0.005536761326829485
37,0.0,4.3644905,1.044,7.0797396,-0.12289959,-49.3,0.0027796385913903474
37,0.0,4.3742867,1.124,7.1621532,-0.11944857,-49.3,0.00555852009960868
37,0.0,4.3702903,1.21,7.038982,-0.12846126,-91.4,0.0027167047458115205
37,0.0,4.4090166,1.222,7.0505576,-0.12947428,-91.4,0.0027107102874166116
37,0.0,4.4377966,1.194,7.0042105,-0.11457083,-91.4,0.0026836055851199437
37,0.0,4.458226,1.152,6.953269,-0.11499326,-91.4,0.002652906922760615
37,0.0,4.516925,1.08,7.0037303,-0.11128296,-49.55,0.008056438033906863
38,1.5108991,4.3289356,1.482,1.0156716,-0.09737393,-121.0,0.003239781930278273
38,1.5108991,4.460185,1.532,1.0124675,-0.10133074,-121.0,0.003982956134110913
38,1.5108991,4.484106,1.568,1.0110058,-0.09962909,-121.0,0.003921667053604482
38,1.5108991,4.5427604,1.644,1.0020419,-0.0974513,-118.0,0.0015439782916652192
38,1.5108991,4.549368,1.702,0.99366593,-0.09648046,-118.0,0.003781072856736662
38,1.5108991,4.58063,1.776,0.97982484,-0.095449686,-118.0,0.0007456810155578887
38,1.5108991,4.607557,1.826,0.9875053,-0.09180018,-118.0,0.0036792300107433514
38,1.5108991,4.6627674,1.91,0.9885801,-0.08840719,-126.78,0.0050845413961569585
39,2.1661334,4.674813,1.536,0.82598716,-0.08374122,99.8,0.0029394560242681487
39,2.1661334,4.705574,1.586,0.8440352,-0.080507606,99.8,0.0029306777485361263
39,2.1661334,4.75844,1.726,0.8530923,-0.080669194,76.0,0.008646205900747321
39,2.1661334,4.7741847,1.75,0.8473516,-0.075142026,76.0,0.002843461744065695
40,0.0,4.2947774,1.922,2.176323,-0.119208276,-74.6,0.009049159559305929
40,0.0,4.2790422,1.928,2.1700418,-0.12250973,-84.4,0.004474312969243573
40,0.0,4.2893653,1.876,2.2002003,-0.12569246,-84.4,0.004490204618624471
40,0.0,4.334091,1.862,2.1723518,-0.122924864,-84.4,0.004433370869206693
41,3.6995463,4.8987656,1.388,0.70442486,-0.10474275,-94.4,0.002563875759708436
41,3.6995463,5.06984,1.446,0.68988335,-0.11161953,-94.4,0.002497315385960093
41,3.6995463,5.080679,1.53,0.698603,-0.108835936,-94.4,0.002446945630703295
41,3.6995463,5.1617513,1.594,0.68965435,-0.108412385,-101.2,0.0047726944604528565
41,3.6995463,5.1781464,1.646,0.68319213,-0.10751453,-101.2,0.0040631647990619895
41,3.6995463,5.220606,1.652,0.66121554,-0.10554823,-101.2,0.006179584338686164
41,3.6995463,5.236729,1.652,0.6527301,-0.10142526,-101.2,0.0054621766118336966
41,3.6995463,5.3269887,1.664,0.63984454,-0.09955317,-111.14,0.0042479304613783474
42,5.032991,4.1748667,1.45,1.5021017,-0.10288535,-136.0,0.0029793752746611582
42,5.032991,4.3085546,1.494,1.4941957,-0.105235815,-136.0,0.003433804827439044
42,5.032991,4.3156376,1.544,1.50418,-0.10298675,-136.0,0.0024363135457571355
42,5.032991,4.4003887,1.636,1.4899782,-0.102677464,-128.6,0.0038475874424364846
42,5.032991,4.4550886,1.708,1.4771378,-0.101126835,-128.6,0.0047420153944787765
42,5.032991,4.5075774,1.72,1.4709858,-0.09994629,-128.6,0.0023468184651431745
42,5.032991,4.5246987,1.722,1.4625436,-0.097467184,-128.6,0.004626838532126222
42,5.032991,4.5840034,1.7,1.4599919,-0.09433521,-141.06,0.004586842458932853
43,0.0,4.208087,1.2,1.9932396,-0.15099885,-124.0,0.005080474719557795
43,0.0,4.345662,1.266,2.0983086,-0.14436466,-124.0,0.0017722200955581076
43,0.0,4.3748155,1.486,2.1029298,-0.14735967,-97.8,0.0017480714401836176
43,0.0,4.4046183,1.528,2.1100368,-0.14373343,-97.8,0.0034992319185938687
43,0.0,4.4447193,1.534,2.1103728,-0.14386019,-97.8,0.0034997891377044534
43,0.0,4.46659,1.532,2.1232755,-0.14451136,-97.8,0.0034864950613797455
43,0.0,4.5220056,1.492,2.138903,-0.14418888,-38.68,0.0017474696639266343
44,37.925545,3.9656427,0.958,1.235413,-0.102835625,-106.2,0.006750890780038426
44,37.925545,4.0777946,1.004,1.2138324,-0.10892251,-106.2,0.0026387661129655773
44,37.925545,4.09874,1.03,1.2251333,-0.106465414,-106.2,0.0013117059260250325
44,37.925545,4.1313863,1.048,1.2235456,-0.104867265,-123.6,0.003934230162955813
44,37.925545,4.135721,1.086,1.2215027,-0.10586667,-123.6,0.002598941710935307
44,37.925545,4.2321362,1.12,1.2161925,-0.10464284,-123.6,0.005175286969662468
44,37.925545,4.2475476,1.13,1.2312733,-0.102001995,-123.6,0.0025598197886868767
45,5.44364,4.318248,1.424,1.1903001,-0.07939531,-38.7,0.0014498174679807812
45,5.44364,4.4384155,1.494,1.2327677,-0.07245448,-38.7,0.0014924548942819576
45,5.44364,4.558568,1.552,1.2524495,-0.070346564,-38.7,0.0014857052865851212
45,5.44364,4.566087,1.622,1.248287,-0.07199071,-40.1,0.0014711691307523632
45,5.44364,4.6059213,1.68,1.2486247,-0.07288587,-40.1,0.002193134757165154
45,5.44364,4.652464,1.696,1.237353,-0.07192984,-40.1,0.00579556436481339
45,5.44364,4.681948,1.748,1.2341216,-0.07140918,-40.1,0.0028633911857660825
45,5.44364,4.7319493,1.768,1.2250175,-0.07280883,-52.77,0.006369241939901248
46,4.7310824,4.021479,1.204,1.2049968,-0.094334856,-130.6,0.001914212646054425
46,4.7310824,4.0945826,1.252,1.2046936,-0.10169202,-130.6,0.00569146564726193
46,4.7310824,4.102463,1.294,1.2236943,-0.10004158,-130.6,0.0018811596220374086
46,4.7310824,4.170149,1.356,1.1983052,-0.099629536,-117.6,0.0018364832081157866
