,prov_code,prov_name,year,all_wm_prov,knows_wm_prov,total_pop,ethnic_turkish,ethnic_kurdish,ln_casualty,ln_gdppc_cons,divorce_rate_ma5,mosques_perk,ceasefire,fm_diff_educ,count,pol_attitude
0,1,adana,2010,20,19,2085225,82.03772,13.370917,3.1780539,4.1877975,1.458,0.60664916,0,-0.06288165,19,-29.7
1,1,adana,2011,15,15,2108805,82.03772,13.370917,3.1780539,4.270533,1.532,0.5998658,0,-0.06818777,15,-29.7
2,1,adana,2012,9,9,2125635,82.03772,13.370917,3.1780539,4.310695,1.632,0.6407497,0,-0.06709957,9,-29.7
3,1,adana,2013,7,7,2149260,82.03772,13.370917,3.1780539,4.3507123,1.712,0.65185225,1,-0.06671113,7,-33.6
4,1,adana,2014,14,14,2165595,82.03772,13.370917,3.1780539,4.3790603,1.79,0.65432364,1,-0.0671466,14,-33.6
5,1,adana,2015,12,12,2183167,82.03772,13.370917,3.1780539,4.421428,1.824,0.6490571,0,-0.06585774,12,-33.6
6,1,adana,2016,11,10,2201670,82.03772,13.370917,3.1780539,4.455729,1.89,0.65086955,0,-0.06417319,10,-33.6
7,1,adana,2017,18,18,2216475,82.03772,13.370917,3.1780539,4.5086017,1.882,0.65238726,0,-0.06269407,18,107.26
8,2,adiyaman,2010,0,0,590935,28.144897,70.21079,3.7612002,3.7191708,0.744,1.1862557,0,-0.10079217,0,-98.6
9,2,adiyaman,2011,1,1,593931,28.144897,70.21079,3.7612002,3.8266168,0.74,1.190374,0,-0.106139034,1,-98.6
10,2,adiyaman,2012,1,1,595261,28.144897,70.21079,3.7612002,3.8406134,0.748,1.2263528,0,-0.10638426,1,-98.6
11,2,adiyaman,2013,2,2,597184,28.144897,70.21079,3.7612002,3.947309,0.762,1.2374746,1,-0.10291308,2,-113
12,2,adiyaman,2014,0,0,597835,28.144897,70.21079,3.7612002,4.0243244,0.814,1.2444905,1,-0.10177758,0,-113
13,2,adiyaman,2015,1,1,602774,28.144897,70.21079,3.7612002,4.050076,0.806,1.2342935,0,-0.1024912,1,-113
14,2,adiyaman,2016,0,0,610484,28.144897,70.21079,3.7612002,4.060205,0.854,1.2449138,0,-0.09956594,0,-113
15,2,adiyaman,2017,0,0,615076,28.144897,70.21079,3.7612002,4.0970206,0.872,1.250252,0,-0.094524905,0,-106.44
16,3,afyonkarahisar,2010,0,0,697559,98.167175,1.8328214,0,4.1500306,1.378,1.5625918,0,-0.101964876,0,-96.4
17,3,afyonkarahisar,2011,0,0,698626,98.167175,1.8328214,0,4.2237825,1.394,1.5759505,0,-0.11241506,0,-96.4
18,3,afyonkarahisar,2012,1,1,703948,98.167175,1.8328214,0,4.229459,1.414,1.5967089,0,-0.108885884,1,-96.4
19,3,afyonkarahisar,2013,2,1,707123,98.167175,1.8328214,0,4.2711825,1.418,1.6022673,1,-0.10815194,1,-98.8
20,3,afyonkarahisar,2014,2,2,706371,98.167175,1.8328214,0,4.32155,1.41,1.6237926,1,-0.10934779,2,-98.8
21,3,afyonkarahisar,2015,2,2,709015,98.167175,1.8328214,0,4.3708544,1.41,1.6177373,0,-0.10976529,2,-98.8
22,3,afyonkarahisar,2016,1,0,714523,98.167175,1.8328214,0,4.3971524,1.364,1.6388556,0,-0.10916367,0,-98.8
23,3,afyonkarahisar,2017,4,4,715693,98.167175,1.8328214,0,4.418556,1.348,1.6417654,0,-0.1054474,4,-85.92
24,4,agri,2010,1,1,542022,15.413678,84.106926,5.638355,3.4639869,0.212,1.5405278,0,-0.079818524,1,-79.2
25,4,agri,2011,0,0,555479,15.413678,84.106926,5.638355,3.468833,0.216,1.5176091,0,-0.09604575,0,-79.2
26,4,agri,2012,1,1,552404,15.413678,84.106926,5.638355,3.5463946,0.232,1.5767446,0,-0.087430306,1,-79.2
27,4,agri,2013,2,2,551177,15.413678,84.106926,5.638355,3.5650904,0.242,1.6020262,1,-0.086224,2,0
28,4,agri,2014,2,2,549435,15.413678,84.106926,5.638355,3.5584946,0.27,1.6289461,1,-0.08654669,2,0
29,4,agri,2015,0,0,547210,15.413678,84.106926,5.638355,3.6187139,0.304,1.6355696,0,-0.083903745,0,0
