,prov_code,year,all_wm_prov,knows_wm_prov,total_pop,ethnic_turkish,ethnic_kurdish,ln_casualty,ln_gdppc_cons,divorce_rate_ma5,mosques_perk,ceasefire,fm_diff_educ,count,pol_attitude
0,1,2010,20.0,19.0,2085225.0,82.03772,13.370917,3.1780539,4.1877975,1.458,0.60664916,0,-0.06288165,20.0,-29.7
1,1,2011,15.0,15.0,2108805.0,82.03772,13.370917,3.1780539,4.270533,1.532,0.5998658,0,-0.06818777,15.0,-29.7
2,1,2012,9.0,9.0,2125635.0,82.03772,13.370917,3.1780539,4.310695,1.632,0.6407497,0,-0.06709957,9.0,-29.7
3,1,2013,7.0,7.0,2149260.0,82.03772,13.370917,3.1780539,4.3507123,1.712,0.65185225,1,-0.06671113,7.0,-33.6
4,1,2014,14.0,14.0,2165595.0,82.03772,13.370917,3.1780539,4.3790603,1.79,0.65432364,1,-0.0671466,14.0,-33.6
5,1,2015,12.0,12.0,2183167.0,82.03772,13.370917,3.1780539,4.421428,1.824,0.6490571,0,-0.06585774,12.0,-33.6
6,1,2016,11.0,10.0,2201670.0,82.03772,13.370917,3.1780539,4.455729,1.89,0.65086955,0,-0.06417319,11.0,-33.6
7,1,2017,18.0,18.0,2216475.0,82.03772,13.370917,3.1780539,4.5086017,1.882,0.65238726,0,-0.06269407,18.0,107.26
9,2,2011,1.0,1.0,593931.0,28.144897,70.21079,3.7612002,3.8266168,0.74,1.190374,0,-0.106139034,1.0,-98.6
10,2,2012,1.0,1.0,595261.0,28.144897,70.21079,3.7612002,3.8406134,0.748,1.2263528,0,-0.10638426,1.0,-98.6
11,2,2013,2.0,2.0,597184.0,28.144897,70.21079,3.7612002,3.947309,0.762,1.2374746,1,-0.10291308,2.0,-113.0
13,2,2015,1.0,1.0,602774.0,28.144897,70.21079,3.7612002,4.050076,0.806,1.2342935,0,-0.1024912,1.0,-113.0
18,3,2012,1.0,1.0,703948.0,98.167175,1.8328214,0.0,4.229459,1.414,1.5967089,0,-0.108885884,1.0,-96.4
19,3,2013,2.0,1.0,707123.0,98.167175,1.8328214,0.0,4.2711825,1.418,1.6022673,1,-0.10815194,2.0,-98.8
20,3,2014,2.0,2.0,706371.0,98.167175,1.8328214,0.0,4.32155,1.41,1.6237926,1,-0.10934779,2.0,-98.8
21,3,2015,2.0,2.0,709015.0,98.167175,1.8328214,0.0,4.3708544,1.41,1.6177373,0,-0.10976529,2.0,-98.8
22,3,2016,1.0,0.0,714523.0,98.167175,1.8328214,0.0,4.3971524,1.364,1.6388556,0,-0.10916367,1.0,-98.8
23,3,2017,4.0,4.0,715693.0,98.167175,1.8328214,0.0,4.418556,1.348,1.6417654,0,-0.1054474,4.0,-85.92
24,4,2010,1.0,1.0,542022.0,15.413678,84.106926,5.638355,3.4639869,0.212,1.5405278,0,-0.079818524,1.0,-79.2
26,4,2012,1.0,1.0,552404.0,15.413678,84.106926,5.638355,3.5463946,0.232,1.5767446,0,-0.087430306,1.0,-79.2
27,4,2013,2.0,2.0,551177.0,15.413678,84.106926,5.638355,3.5650904,0.242,1.6020262,1,-0.086224,2.0,0.0
28,4,2014,2.0,2.0,549435.0,15.413678,84.106926,5.638355,3.5584946,0.27,1.6289461,1,-0.08654669,2.0,0.0
31,4,2017,3.0,3.0,536285.0,15.413678,84.106926,5.638355,3.721309,0.348,1.7117764,0,-0.08006203,3.0,-111.14
32,5,2010,1.0,0.0,334786.0,100.0,0.0,1.3862944,4.1869845,1.078,1.9803696,0,-0.11596309,1.0,-80.2
33,5,2011,2.0,2.0,323079.0,100.0,0.0,1.3862944,4.311354,1.08,2.0768914,0,-0.11575326,2.0,-80.2
36,5,2014,1.0,1.0,321913.0,100.0,0.0,1.3862944,4.358618,1.226,2.1465428,1,-0.12558481,1.0,-87.0
38,5,2016,1.0,1.0,326351.0,100.0,0.0,1.3862944,4.466351,1.312,2.080582,0,-0.12236178,1.0,-87.0
39,5,2017,1.0,1.0,329888.0,100.0,0.0,1.3862944,4.491895,1.33,2.064337,0,-0.12128848,1.0,-47.28
40,6,2010,20.0,19.0,4771716.0,98.271225,0.4321942,0.0,4.896542,1.96,0.5842762,0,-0.076327056,20.0,-77.0
41,6,2011,10.0,10.0,4890893.0,98.271225,0.4321942,0.0,4.969082,2.008,0.57596844,0,-0.07874817,10.0,-77.0
42,6,2012,16.0,16.0,4965542.0,98.271225,0.4321942,0.0,4.9594994,2.068,0.57899016,0,-0.07585204,16.0,-77.0
43,6,2013,9.0,9.0,5045083.0,98.271225,0.4321942,0.0,5.0097227,2.148,0.57719564,1,-0.07733157,9.0,-89.8
44,6,2014,14.0,14.0,5150072.0,98.271225,0.4321942,0.0,5.0105057,2.202,0.5737784,1,-0.0808157,14.0,-89.8
45,6,2015,18.0,18.0,5270575.0,98.271225,0.4321942,0.0,5.0431695,2.214,0.56805944,0,-0.07828298,18.0,-89.8
46,6,2016,14.0,14.0,5346518.0,98.271225,0.4321942,0.0,5.080376,2.198,0.5672851,0,-0.07454023,13.0,-89.8
47,6,2017,5.0,5.0,5445026.0,98.271225,0.4321942,0.0,5.114053,2.162,0.56326634,0,-0.07532671,5.0,101.86
