,age,date,prov_name,perpetrator_en_new,excuses_cat
0,18,12/31/2017, istanbul,boyfriend,Unknown
1,17,12/31/2017, burdur,boyfriend,Separation & Jealousy
2,38,12/30/2017, bolu,boyfriend,Other
3,53,12/27/2017, ankara,boyfriend,Separation & Jealousy
4,22,12/25/2017, diyarbakir,partner,Separation & Jealousy
5,49,12/24/2017, usak,son,Unknown
6,38,12/24/2017, mugla,boyfriend,Separation & Jealousy
7,38,12/23/2017, hatay,ex-partner,Separation & Jealousy
8,28,12/23/2017, adana,ex-partner,Other
9,40,12/19/2017, i̇zmir,boyfriend,Unknown
10,21,12/19/2017, i̇zmir,known man,Other
11,37,12/18/2017, adana,boyfriend,Separation & Jealousy
12,36,12/18/2017, adana,known man,Other
13,43,12/17/2017, manisa,partner,Other
14,33,12/13/2017, sivas,partner,Other
15,7,12/13/2017, kayseri,father,Other
16,41,12/13/2017, kayseri,partner,Other
17,16,12/13/2017, kayseri,father,Other
18,30,12/11/2017, kocaeli,partner,Other
19,40,12/10/2017, bursa,known man,Separation & Jealousy
20,35,12/9/2017, istanbul,son,Unknown
21,41,12/6/2017, amasya,partner,Separation & Jealousy
22,35,12/5/2017, batman,relative,Unknown
23,27,12/5/2017, antalya,partner,Separation & Jealousy
24,19,12/5/2017, tekirdag,known man,Separation & Jealousy
25,,12/4/2017, diyarbakir,partner,Unknown
26,11,12/3/2017, zonguldak,father,Other
27,22,12/3/2017, bursa,partner,Separation & Jealousy
28,17,12/3/2017, istanbul,boyfriend,Separation & Jealousy
29,39,12/3/2017, zonguldak,ex-partner,Other
30,40,11/30/2017, duzce,partner,Other
31,16,11/27/2017, istanbul,boyfriend,Sexual expectation
32,40,11/27/2017, istanbul,partner,Separation & Jealousy
33,20,11/26/2017, sanliurfa,father,Unknown
34,,11/25/2017, zonguldak,son,Other
35,60,11/24/2017, konya,partner,Unknown
36,19,11/19/2017, sakarya,father,Unknown
37,28,11/18/2017, yozgat,partner,Separation & Jealousy
38,35,11/17/2017, adana,son,Other
39,49,11/16/2017, diyarbakir,brother,Other
40,32,11/14/2017, istanbul,partner,Unknown
41,25,11/12/2017, mersin,boyfriend,Unknown
42,24,11/11/2017, sakarya,ex-partner,Unknown
43,64,11/4/2017, aksaray,partner,Unknown
44,35,11/2/2017, denizli,ex-partner,Separation & Jealousy
45,35,10/31/2017, istanbul,partner,Separation & Jealousy
46,21,10/30/2017, adana,known man,Unknown
47,38,10/28/2017, antalya,boyfriend,Other
48,62,10/28/2017, istanbul,partner,Separation & Jealousy
49,31,10/22/2017, afyonkarahisar,partner,Unknown
50,31,10/20/2017, kocaeli,boyfriend,Masculinity&Honor
51,32,10/17/2017, gaziantep,partner,Separation & Jealousy
52,33,10/15/2017, kocaeli,partner,Unknown
